LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Park,3401 W. Foster Ave.,Chicago,60625,10405,10594,11498,10867,10395,11171,11532,11387,11534,11677,9741,9454,130255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altgeld,13281 S. Corliss Ave.,Chicago,60827,2083,2358,2380,2127,2247,2484,2578,2512,2462,2678,2014,2273,28196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Heights,5055 S. Archer Ave.,Chicago,60632,6378,7521,7809,7824,7162,6952,7835,7536,6908,8219,6679,5770,86593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,5615 W. Race Ave.,Chicago,60644,4878,5391,5655,5378,5178,5895,7399,7962,6299,7604,8128,7713,77480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,8003,8879,9627,8853,9172,9897,10441,10110,9031,10054,8060,6953,109080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,8148 S. Stony Island Ave.,Chicago,60617,7925,8093,8748,11392,8896,7870,9318,9045,8389,10385,7523,7078,104662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of the Yards,2111 W. 47th St.,Chicago,60609,3382,3235,3990,3864,4310,3670,4447,4243,3801,4173,3007,2867,44989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly,1962 W. 95th St.,Chicago,60643,5727,6496,6627,6492,7135,6496,6890,6275,6777,7333,6761,3327,76336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bezazian,1226 W. Ainslie St.,Chicago,60640,9666,8634,9543,10704,10433,10540,11867,12265,9769,11981,9164,7005,121571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7440,6986,8107,8534,7677,8143,9601,8850,7733,7779,7112,6396,94358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainerd,1350 W. 89th St.,Chicago,60620,5057,6719,5235,6594,6380,7204,4534,4690,3680,4456,3039,2439,60027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Park,4314 S. Archer Ave.,Chicago,60632,4444,4593,4480,5680,4161,4514,5194,5142,4223,5799,4107,3349,55686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,10961,10580,13487,10603,8590,10533,11950,11519,9416,10659,10384,9460,128142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,9917,11174,11358,10868,9672,10735,11979,11038,9372,10725,9318,8893,125049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaryville,642 W. 43rd St.,Chicago,60609,2614,2956,3515,3195,3186,3617,3931,3467,3130,3435,3129,2748,38923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bee,3647 S. State St.,Chicago,60609,1585,1742,1957,2287,2114,2335,2184,1920,1720,2296,1925,1643,23708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,5247,6273,5315,5792,5304,6077,7165,8598,4600,0,0,0,54371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,16716,21237,24670,22875,23898,22703,24518,26210,22446,24910,21183,20148,271514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearing,6423 W. 63rd Pl.,Chicago,60638,4283,5259,5385,5196,4787,4777,6062,5700,4742,185,1552,3740,51668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman,731 E. 63rd St.,Chicago,60637,6123,6834,6745,7398,6891,6603,8386,7985,0,4517,6031,6884,74397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4550,4650,5042,5536,5059,4988,5952,5590,4853,5618,4720,4105,60663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,9216,10480,10319,9572,8927,8959,9283,11059,8526,9535,8850,11435,116161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunning,7455 W. Cornelia Ave.,Chicago,60634,7777,8684,8650,8425,9254,9519,10353,9049,10065,8865,6802,6816,104259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgebrook,5331 W. Devon Ave.,Chicago,60646,7241,8130,8517,8361,7260,8955,9688,9171,7282,8610,7074,6716,97005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgewater,6000 N. Broadway St.,Chicago,60660,11504,17381,19171,20253,15847,16459,18370,17216,15906,17014,14596,13328,197045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage Park,2807 W. 55th St.,Chicago,60632,2111,1979,2000,2177,2185,2569,3111,2967,2435,3834,2256,2082,29706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
