BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Park,3401 W. Foster Ave.,Chicago,60625,3419,6208,8004,6925,7068,6394,7005,6848,7061,6955,6719,6469,79075,POINT (-87.71357 41.9757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altgeld,955 E. 131st St.,Chicago,60827,339,822,3378,3231,3217,3466,4771,4217,4146,4613,3542,3204,38946,POINT (-87.59861 41.65728),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,3250,3169,2896,4950,3198,3390,3329,4599,5054,2703,41847,POINT (-87.72663 41.8007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,5615 W. Race Ave.,Chicago,60644,2991,2312,3410,3486,1636,3883,5135,4145,3804,3918,3492,2982,41194,POINT (-87.76597 41.88929),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3101,3642,4957,4893,4326,5147,5029,5149,4840,5656,5303,3944,55987,POINT (-87.77944 41.95301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,4777,5025,4666,4188,5093,4747,3630,3639,3029,1950,47736,POINT (-87.58584 41.74633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,2689,2942,2729,2933,2717,2943,2816,3508,2576,2276,31258,POINT (-87.67763 41.80849),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly,1962 W. 95th St.,Chicago,60643,1709,1943,1403,99,0,1489,2773,2871,2592,2685,2490,2179,22233,POINT (-87.6723 41.72114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bezazian,1226 W. Ainslie St.,Chicago,60640,0,5133,6393,7186,7870,5395,4471,3789,3907,3799,3932,3332,55207,POINT (-87.66009 41.97146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,5724,7464,7252,7130,7061,6992,7065,7194,6380,5979,4894,76626,POINT (-87.5902 41.80763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainerd,1350 W. 89th St.,Chicago,60620,617,536,995,1088,1354,1147,1182,1215,1098,973,1301,836,12342,POINT (-87.65774 41.73232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1727,2959,3207,2356,3090,2871,3264,3017,3270,3264,2681,32956,POINT (-87.70303 41.81483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,5954,7115,7525,6111,11320,8472,8434,8088,7620,7122,3317,86093,POINT (-87.68036 41.91225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,5714,7070,6613,6087,6615,8904,7810,6659,8755,7259,3437,79981,POINT (-87.69782 41.98473),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaryville,642 W. 43rd St.,Chicago,60609,0,1427,1854,1894,33,0,736,1184,1038,957,887,950,10960,POINT (-87.64257 41.81624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bee,3647 S. State St.,Chicago,60609,512,900,1002,1086,1211,819,1074,993,1162,985,841,977,11562,POINT (-87.62649 41.82815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2444,2794,3927,3810,3833,4635,4397,4968,4236,4369,4241,3423,47077,POINT (-87.70322 41.78197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,6955,11013,11999,13147,15962,16974,15109,13290,14005,11877,11473,144767,POINT (-87.63181 41.85419),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearing,6423 W. 63rd Pl.,Chicago,60638,1505,918,1290,1290,730,575,870,1605,1440,1156,2425,1770,15574,POINT (-87.7819 41.77645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
