BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,Longitude,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Park,3401 W. Foster Ave.,Chicago,60625,6565,7308,6554,7159,7552,7332,6618,7312,7565,8259,,,72224,POINT (-87.714061005 41.975447006),-87.71406101,41.97544701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altgeld,955 E. 131st St.,Chicago,60827,3342,3529,4242,4346,3959,4839,2810,3906,3223,3314,,,37510,POINT (-87.5985899 41.657217043),-87.5985899,41.65721704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3282,6377,6239,2610,737,3666,3413,3636,3355,4205,,,37520,POINT (-87.726678032 41.800891986),-87.72667803,41.80089199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,5615 W. Race Ave.,Chicago,60644,3335,3313,4077,4028,4296,4550,5270,7198,6241,6725,,,49033,POINT (-87.765813976 41.88902598),-87.76581398,41.88902598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3165,3462,3438,3240,3052,3337,3155,0,0,4253,,,27102,POINT (-87.779555017 41.953195986),-87.77955502,41.95319599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,8148 S. Stony Island Ave.,Chicago,60617,3345,3417,4169,3917,3614,4085,4342,4300,4234,4408,,,39831,POINT (-87.586262965 41.746330993),-87.58626297,41.74633099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of the Yards,2111 W. 47th St.,Chicago,60609,2440,2529,3529,3525,3473,3604,3501,3189,3831,3369,,,32990,POINT (-87.678143963 41.807980981),-87.67814396,41.80798098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly,1962 W. 95th St.,Chicago,60643,2724,2792,3527,2989,2642,3185,3346,3131,2884,2952,,,30172,POINT (-87.672148974 41.721352),-87.67214897,41.721352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bezazian,1226 W. Ainslie St.,Chicago,60640,3766,3742,4305,4302,4027,4123,4285,4612,4098,3935,,,41195,POINT (-87.660752017 41.971581984),-87.66075202,41.97158198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6396,6111,8340,7206,7152,8224,8345,8946,8389,7709,,,76818,POINT (-87.590339001 41.805839991),-87.590339,41.80583999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
