BRANCH,Albany Park,Altgeld,Archer Heights,Austin,Austin-Irving,Avalon,Back of the Yards,Beverly,Bezazian,Blackstone,Brainerd,Brighton Park,Bucktown-Wicker Park,Budlong Woods,Canaryville,Chicago Bee,Chicago Lawn,Chinatown,Clearing,Coleman,"Daley, Richard J.","Daley, Richard M.",Douglass,Dunning,Edgebrook,Edgewater,Gage Park,Galewood-Mont Clare,Garfield Ridge,Greater Grand Crossing,Hall,Harold Washtington Library Center,Hegewisch,Humboldt Park,Independence,Jefferson Park,Jeffery Manor,Kelly,King,Legler Regional,Lincoln Belmont,Lincoln Park,Little Italy,Little Village,Logan Square,Lozano,Manning,Mayfair,McKinley Park,Merlo,Mount Greenwood,Near North,North Austin,North Pulaski,Northtown,Oriole Park,Portage-Cragin,Pullman,Roden,Rogers Park,Scottsdale,Sherman Park,South Chicago,South Shore,Sulzer Regional Library,Thurgood Marshall,Toman,Uptown,Vodak-East Side,Walker,Water Works,West Belmont,West Chicago Avenue,West Englewood,West Lawn,West Loop,West Pullman,West Town,"Whitney M. Young, Jr.",Woodson Regional Library,Wrightwood-Ashburn,Year
JANUARY,6565,3342,3282,3335,3165,3345,2440,2724,3766,6396,762,2346,3662,3641,1228,881,3320,12943,1095,2221,1754,3948,2281,5224,5774,8408,1715,0,4670,2850,2360,31440,1245,2134,3638,3187,920,2361,1208,2745,7534,9102,7679,2402,10711,3697,3272,1585,4587,8024,2044,6661,1632,2612,6176,4896,4569,2874,4217,6634,2976,964,3160,1736,19382,3169,2431,6937,2632,1090,3786,3469,1291,2120,2769,5796,2432,6684,1976,4608,1625,2023
FEBRUARY,7308,3529,6377,3313,3462,3417,2529,2792,3742,6111,1023,3629,5151,6962,1290,1022,3687,12093,630,1750,2150,4199,1605,5559,5827,8676,1511,0,4862,2852,2208,34144,1501,4843,4542,2839,1797,2276,1333,2781,7608,13927,7318,3042,9805,5999,3333,2201,7009,12599,297,11052,1472,2322,10135,4824,7520,3466,13491,7712,3537,1225,2950,2083,19383,5731,3178,6885,3316,1914,3634,7391,1499,2508,3212,5291,8510,6765,3628,5169,12146,2023
MARCH,6554,4242,6239,4077,3438,4169,3529,3527,4305,8340,1033,4285,5208,6465,1720,1216,4129,16430,610,1802,3544,5000,1818,5898,6259,9075,3794,0,5640,3992,3020,37003,1511,2767,4108,3345,1731,2598,1377,3538,8966,14045,8778,3836,12323,5354,3536,2908,7157,13585,1227,11254,1880,2771,9397,5486,9359,3866,13435,11081,3839,1200,3729,2268,22779,6439,2881,7865,3622,2029,4445,6795,2886,2557,3589,6469,7576,8422,4051,7259,6312,2023
APRIL,7159,4346,2610,4028,3240,3917,3525,2989,4302,7206,1397,4267,5988,5755,1420,1197,4358,16045,2935,2812,5498,4322,400,6175,5770,10534,2243,0,5194,3740,2950,32806,1577,2608,3993,5012,1890,3035,1452,3476,8509,14697,8378,3653,11115,4991,3999,3110,5770,11985,2623,10335,1925,2719,8077,5025,8386,3738,9104,10685,3764,1195,2989,2369,19675,5623,2383,8517,3454,1754,4120,5312,1989,2559,3999,5617,5448,7309,4577,7072,4074,2023
MAY,7552,3959,737,4296,3052,3614,3473,2642,4027,7152,1082,3130,3646,3924,1275,1033,3964,16491,480,2529,4445,4013,499,6047,5878,8299,1879,0,4791,4183,3310,39548,1150,2404,3366,4369,1946,2901,1640,3090,7509,7933,8675,3665,10463,4079,4068,2901,5816,8442,2433,6868,1831,2774,6293,4954,7057,3481,4589,10224,3258,1107,3119,2536,20137,3694,2992,7734,2704,1488,4201,3677,1623,2582,3832,5188,2817,6577,2262,6216,1851,2023
JUNE,7332,4839,3666,4550,3337,4085,3604,3185,4123,8224,1318,3435,4386,4781,1470,1100,4481,17259,2635,2989,5410,3825,1840,5838,8215,10364,2284,0,6500,2276,3362,33618,1540,3300,4041,5264,1618,3041,1814,3437,9024,9466,8005,3909,11429,4545,3629,3161,6729,8532,2871,7742,1924,2870,7129,5167,3908,3371,5143,9638,3596,1210,3391,2395,21418,4127,2821,8123,4074,1554,4448,4000,1650,2756,4555,5595,3351,5989,3477,6921,2193,2023
JULY,6618,2810,3413,5270,3155,4342,3501,3346,4285,8345,1394,3462,4419,5295,1485,1148,4509,19667,550,3520,5723,4189,1788,6034,7425,10292,2555,0,5543,1640,3248,37799,1351,3144,3538,5304,1267,3129,1461,60,9467,9396,8511,4682,12997,4504,3954,3045,6146,8912,2322,7949,2089,3003,7137,5096,3897,4103,5997,8650,3541,1442,3409,2581,21126,3926,2914,7872,4631,1573,4952,3759,2017,2970,4326,6143,3209,6849,4312,6748,2094,2023
AUGUST,7312,3906,3636,7198,0,4300,3189,3131,4612,8946,1426,3747,4570,4429,1644,1295,4875,18550,1185,3178,5372,5086,2003,5665,5457,9628,2322,0,4764,2844,3163,44128,1313,3394,3701,6179,1467,3338,1567,0,9555,9481,8879,4318,13051,4648,4391,3071,5622,9081,2028,8459,1923,3142,6992,5586,4176,4031,7676,6350,3569,1758,3614,3062,23377,4409,2353,8438,4231,1794,5309,4054,2266,3838,3932,6282,3652,7308,4933,5972,2495,2023
SEPTEMBER,7565,3223,3355,6241,0,4234,3831,2884,4098,8389,1144,3079,4285,4389,1425,1515,4097,16308,1760,2674,5030,3251,2240,5731,4438,11368,2017,0,4868,4226,3029,37575,1143,3111,3298,5462,1653,2365,1538,0,8695,8851,8638,4519,11696,4540,4727,2763,5208,8533,2077,7779,1613,2878,7298,5239,4221,3145,5211,9825,2927,1167,3754,2748,22103,3973,2158,7724,3645,1426,4677,3900,1700,3353,4032,5845,3140,6849,3916,6642,1762,2023
OCTOBER,8259,3314,4205,6725,4253,4408,3369,2952,3935,7709,1136,3741,4448,4516,1780,1831,4842,16745,1805,2055,4858,4891,2135,5593,4659,5796,2519,0,4837,2433,3238,36504,1128,3181,3953,5379,1559,2959,1624,0,9837,8162,8827,4565,12034,5411,4486,2796,6846,8466,2904,7921,1688,3182,6864,5666,4366,3910,6357,11875,3502,1542,3661,2952,22543,4329,2989,8651,4710,2046,4813,3712,1882,679,3918,6093,2452,7390,1085,7847,2077,2023
JANUARY,3419,339,2949,2991,3101,2985,1440,1709,0,3491,617,1250,5015,5058,0,512,2444,2963,1505,3059,2480,6556,435,4240,3693,7563,0,0,2594,837,0,39287,1165,2527,2412,2656,2002,497,1209,477,2888,4915,2801,1270,7285,3634,0,1302,368,4605,1400,4771,1072,1669,5957,3528,2301,1558,2759,4179,1856,1420,768,1066,13873,2094,1371,4948,2007,521,0,1954,608,2038,1030,2514,1216,3402,1830,3655,1417,2023
FEBRUARY,6208,822,2360,2312,3642,4007,1689,1943,5133,5724,536,1727,5954,5714,1427,900,2794,6955,918,1540,0,4072,1100,5603,4302,3509,911,0,2929,977,2213,50081,1194,2725,2684,3140,863,1461,1080,2056,843,6552,5665,1348,8572,2311,2701,1552,3624,7379,1478,5815,1337,2052,6137,4252,3072,1705,3073,7092,2867,1409,3114,1178,15111,2577,1163,5325,2718,670,2774,2396,808,2281,1345,3085,944,4726,2462,4516,1164,2022
MARCH,8004,3378,3250,3410,4957,4777,2689,1403,6393,7464,995,2959,7115,7070,1854,1002,3927,11013,1290,4054,0,3827,1456,6706,5447,8040,1586,0,4083,1447,2716,64622,1552,3753,3171,4490,1226,2781,1639,3315,0,8399,8196,1896,10957,3021,3653,1980,4731,10016,1936,4707,1895,2283,8619,5458,3987,2575,4268,8908,3325,1846,3980,1575,19899,3050,1669,6378,3749,1255,4298,3035,1207,2754,2505,4329,1175,5947,3014,3918,1631,2022
APRIL,6925,3231,3169,3486,4893,5025,2942,99,7186,7252,1088,3207,7525,6613,1894,1086,3810,11999,1290,4297,0,5137,1586,5857,5241,9664,1875,0,3782,1657,2923,64754,1612,3867,3146,4787,1284,2587,1607,2875,1247,9454,7564,1877,10380,3780,3924,1826,3942,9522,1857,0,1979,2413,8090,3774,3828,2990,4712,8827,3356,2017,3881,1544,18966,3280,2198,4801,4378,613,4501,3054,1140,2423,2815,4306,1734,5530,3406,6239,1874,2022
MAY,7068,3217,2896,1636,4326,4666,2729,0,7870,7130,1354,2356,6111,6087,33,1211,3833,13147,730,4225,957,5130,2803,6394,5187,8411,1633,0,3370,1838,2996,60950,1411,4047,3002,3951,1448,2666,1652,3574,5464,9152,7828,2016,9038,3664,4531,1446,4584,9188,1986,0,1598,2211,8461,3080,3466,3001,3858,8728,3420,1786,3822,1801,17119,3326,2533,0,3420,964,4646,2954,1119,2872,2744,4206,1803,4300,3464,5610,1817,2022
JUNE,6394,3466,4950,3883,5147,4188,2933,1489,5395,7061,1147,3090,11320,6615,0,819,4635,15962,575,4162,2086,4408,0,5177,6707,8531,1570,0,5176,1769,2850,63316,1841,7297,5240,4418,1680,2834,1959,3276,5435,12512,8215,2269,9187,2693,3858,1715,5238,15221,2399,0,1587,2444,6614,4827,5573,3175,8939,8624,3392,1508,3374,1576,14966,3379,2390,1999,3343,948,4801,5544,1591,3403,3798,4264,2282,6246,4946,5815,3609,2022
JULY,7005,4771,3198,5135,5029,5093,2717,2773,4471,6992,1182,2871,8472,8904,736,1074,4397,16974,870,4816,2105,4118,4316,7638,6437,9696,1470,0,6041,1437,3200,71029,1858,4741,3752,4460,1790,2730,1793,3601,6435,10660,7872,2449,10600,3995,3653,1594,5037,8547,2774,0,2002,2677,4807,5100,4058,3237,4562,8696,3299,1434,4843,2059,18748,3684,2546,5785,4703,1166,5112,3485,1181,2924,4384,4639,1807,6644,3809,6183,1048,2022
AUGUST,6848,4217,3390,4145,5149,4747,2943,2871,3789,7065,1215,3264,8434,7810,1184,993,4968,15109,1605,5462,2049,3433,3921,6869,6411,9588,1678,0,4817,1760,3488,65825,796,4958,3945,4287,1661,3343,1656,3442,7667,10414,8699,2171,11057,4508,3680,1623,5458,8701,2313,7086,1939,2876,6426,5297,4024,2752,4582,8916,3403,1740,4842,2264,19294,3675,2364,6428,4355,1146,5035,3898,1474,4282,4067,4826,2090,6767,4064,5996,1401,2022
SEPTEMBER,7061,4146,3329,3804,4840,3630,2816,2592,3907,7194,1098,3017,8088,6659,1038,1162,4236,13290,1440,2750,1873,3749,3733,6169,5317,8944,1131,0,4982,2375,3003,61361,162,3705,2903,3526,1171,2686,1532,3310,7074,8960,8736,2043,9856,4097,2974,1446,4786,7799,1986,10148,1627,2443,5969,5014,3335,3230,3794,9226,3081,1263,4285,1864,18776,3628,1667,6106,3761,1016,4052,3253,1622,2708,3307,4645,2023,5888,4172,5305,2117,2022
OCTOBER,6955,4613,4599,3918,5656,3639,3508,2685,3799,6380,973,3270,7620,8755,957,985,4369,14005,1156,3187,2150,3686,2738,6495,5992,9539,2032,0,3982,2391,3157,67126,1156,5676,3539,3663,1835,2867,1492,3346,7100,11785,8458,2080,10579,4777,3861,1441,5641,10197,2448,12716,1770,2487,8492,4880,4621,3605,8002,9380,2995,1227,3607,1936,21154,3621,3009,6519,4074,1157,4194,5245,1513,3534,3516,5246,2377,6537,4579,5491,5210,2022
NOVEMBER,6719,3542,5054,3492,5303,3029,2576,2490,3932,5979,1301,3264,7122,7259,887,841,4241,11877,2425,2506,2112,2541,1626,5513,6298,8103,1620,0,4529,2057,2555,50053,1228,3262,3887,3926,1724,2381,1404,3196,6929,17248,7284,1928,10006,5728,3523,1508,4726,12420,1787,9813,1745,2370,9581,4712,5254,3527,10121,9355,3261,994,3146,1812,20568,3095,2793,7091,3700,996,3860,6103,2024,3277,3431,5030,6051,6620,4319,4986,6950,2022
DECEMBER,6469,3204,2703,2982,3944,1950,2276,2179,3332,4894,836,2681,3317,3437,950,977,3423,11473,1770,2270,2154,3656,2256,5443,5184,6262,1527,0,3924,2125,2053,28348,934,1665,2960,2864,1103,2093,1041,2539,6161,8067,5633,617,9037,3121,2952,1388,3761,6551,1715,5974,1435,2419,5326,4723,3156,2684,3840,7431,2832,1009,3328,1508,16373,3206,1942,5913,2844,1079,4321,2923,1087,2499,3531,4047,235,5791,3511,3678,1410,2022
JANUARY,3419,339,2949,2991,3101,2985,1440,1709,0,3491,617,1250,5015,5058,0,496,2444,2963,440,3059,2480,6556,435,4240,3693,7563,0,0,2594,837,0,39287,1165,2527,2412,2656,2002,497,1209,477,2888,4915,2801,967,7285,3634,0,1302,368,4605,1400,4771,1072,1669,5957,3528,2301,1558,2759,4179,1856,1420,768,1066,13873,2094,1371,4948,2007,325,0,1954,330,2038,1030,2514,883,3402,1830,3655,1417,2022
FEBRUARY,3366,270,2857,2412,3072,2513,1482,1221,0,2572,815,1004,4257,4386,0,488,2207,2583,380,2538,2162,6016,326,3646,3427,6508,0,0,2330,954,704,36109,1081,1962,2172,2338,1747,428,1101,359,3225,4435,2488,1030,6269,4546,0,1061,2793,5611,1162,4786,868,1425,5228,2912,1971,1676,2471,4718,2117,1264,1726,868,12812,2043,1155,3901,2769,457,0,1675,490,1657,914,2322,990,2938,1515,3446,0,2021
MARCH,4404,412,3310,3799,4830,4235,2382,1741,1629,4279,1160,1515,4969,5771,0,595,3018,4102,1100,2316,2959,6788,484,4945,4527,7403,0,0,3215,1097,1629,43918,1450,2634,2554,3901,2367,635,1481,424,5433,5858,811,1158,7746,3215,0,1682,3784,6347,1583,6168,1262,2190,7482,3868,2789,835,2950,6600,1625,1699,1866,1155,16196,2695,1856,4675,2370,704,0,2323,667,2047,1363,2685,1872,3580,1921,5049,0,2021
APRIL,4299,470,3325,2957,3651,3864,1491,2081,4587,4316,129,1418,5355,5662,0,653,2960,6748,525,3029,3141,5320,548,5441,4316,7607,0,0,2816,1137,1662,38621,1507,2570,2486,5630,2425,587,1474,629,5369,5630,2835,1058,7003,3959,0,1566,3621,6577,1532,6179,1249,1923,6957,3563,2645,889,2866,5291,1598,1644,2294,1514,14320,2698,1554,5357,2357,707,0,2153,618,1947,1406,2823,1445,3627,2215,6815,734,2021
MAY,4256,724,2911,2615,4121,4046,1948,1761,3738,4527,0,1451,5364,5382,0,866,3233,6209,1535,1382,4858,4750,484,4854,3982,3654,0,0,2705,1137,2029,24131,1451,2839,2490,4029,110,639,1480,650,6630,5764,3314,1317,6563,7947,0,1533,3409,7036,1479,6708,1350,1980,7333,3688,2533,2124,3285,6506,3369,1404,2737,1620,14497,2419,1522,4901,2184,516,0,2225,692,2211,1307,2728,1490,4617,2311,3638,908,2021
JUNE,4958,998,2244,2946,4523,3479,1970,1816,2300,4822,469,1481,4530,6008,0,974,3605,7770,0,2802,3370,5961,184,5150,4167,6060,0,0,3375,1304,2478,49671,1523,2915,2429,4227,222,646,1498,1004,5374,7657,3536,1154,7634,7910,0,1520,3679,7657,1743,7670,1969,2233,8733,4291,2724,2887,4137,5446,3596,1707,2783,1486,13147,2557,1842,5713,2188,900,0,3387,693,2225,699,2675,1471,4973,2436,3144,1223,2021
JULY,5325,1437,2937,2874,4536,4270,2560,2350,3663,5970,624,2581,6287,7148,396,898,4959,11264,455,2913,3473,4218,589,7909,5480,10020,0,0,3626,2303,2627,52519,1611,3305,3039,4475,959,876,1711,1326,9603,6967,4215,1713,8569,4440,0,2795,4062,7875,1913,6837,1864,2466,8909,4375,3199,2906,3952,7667,4579,1809,3409,1388,15148,2944,1925,5877,3058,990,0,2728,786,2467,0,3442,1645,4058,1639,5060,1435,2021
AUGUST,5877,1397,2993,3083,4337,4583,2873,2000,5547,6237,655,2499,5834,7031,808,1130,5416,11362,1605,3625,653,5543,1165,8380,5383,9843,406,0,3139,0,2660,43215,1428,3375,3665,4328,1192,929,1492,1272,2192,7273,4359,1670,8214,4323,0,2261,4369,8351,1798,6536,1710,2169,9035,4047,3326,2595,3791,7419,4124,1824,3580,1819,16132,3165,1662,6088,3058,977,0,2856,887,3104,0,3423,1470,2096,3665,5636,1299,2021
SEPTEMBER,6740,162,2847,2926,4483,4489,2283,1994,5549,5925,714,320,5961,6210,1744,1076,4056,10363,1515,3568,0,5565,1055,8512,4771,9328,740,0,3204,930,2278,52795,1461,3079,2963,3834,991,852,1329,2427,6908,6874,4920,1596,7770,3918,1239,2105,4553,8264,1569,6649,1428,2284,7797,5658,3447,2456,3381,7437,3734,1669,3375,1784,15602,2994,1818,6197,3141,975,1024,2847,1102,2958,0,3346,1203,2969,3651,5256,1279,2021
OCTOBER,7259,155,3095,3171,4613,4840,2957,2178,6515,6649,754,0,6668,6390,1778,1145,3890,11385,1590,3778,0,4430,728,6217,4556,9424,1308,0,3526,1724,2800,57025,1568,2853,2996,4061,941,854,1403,2174,7098,7174,6862,1724,8685,3171,2986,2100,4392,8694,1248,6686,1445,2142,7640,4963,3523,2676,3520,8301,3768,1587,2729,1682,16374,3092,1645,6305,3674,1783,3207,3106,991,3021,0,3629,1243,6183,2854,5312,1440,2021
NOVEMBER,6445,1744,2709,3164,3488,4136,1877,2368,5552,6316,602,1270,7070,6078,1586,931,3524,10353,380,3444,0,4142,1152,6054,4563,8436,1243,0,3122,1237,2333,54392,1365,2918,3033,4034,882,736,1845,2179,6446,7287,5647,1721,8643,4508,2780,2194,4310,7916,1558,6992,1318,2088,7640,4734,3402,2329,3261,5635,3553,1489,3142,1539,12616,2690,1538,5801,3405,3088,3365,2967,881,2759,0,3569,1098,5076,3016,4550,1316,2021
DECEMBER,6492,2652,2488,2383,3965,3413,2122,2237,4581,5906,774,1427,5676,5559,1599,936,3557,8681,1152,3827,0,4819,895,5705,4018,8461,1122,0,3419,950,2128,52268,1362,3115,2792,3429,789,1717,1362,2170,6001,6040,6305,1463,8307,4158,2831,1675,3795,7274,1387,5750,1282,2024,6818,4153,3116,2095,3393,6496,3513,1321,2927,1580,14660,2773,1675,5496,3357,633,2998,2472,817,2471,0,3237,1122,4759,3113,4426,1223,2021
JANUARY,9878,2730,6620,9335,7867,8908,3226,2881,9959,7216,2455,3894,10699,10069,2493,1905,2301,19325,4334,6541,4565,10899,0,7328,7485,15208,2058,1591,5282,4210,4885,104255,3017,4846,5491,5270,3563,5448,2904,0,12707,11563,10850,5288,12501,10498,7161,3412,6531,0,3582,10765,3864,3209,0,7781,5365,3775,736,11997,3190,2698,6489,0,29483,6199,4196,10289,1319,0,0,3816,7252,5207,4880,7440,8338,9179,8004,16492,3849,2021
FEBRUARY,9473,1809,5803,9562,7380,7616,3246,2843,9130,6828,2279,3562,9981,9802,2555,2577,5013,14701,4137,6593,4210,11767,0,7572,6533,13339,1942,1375,4928,3399,4729,102202,2785,4760,5189,4718,3191,5301,3518,0,11844,11031,10504,4917,11545,9411,6683,2898,5301,0,2222,9489,3893,2994,13474,6343,5073,3410,3742,11407,3210,2403,6023,0,27624,7924,4295,10115,4556,0,0,4175,5970,4909,4682,6686,7884,8264,7119,16461,3526,2020
MARCH,5077,1127,4045,5390,4222,4437,1848,1537,6567,3628,1522,2639,5663,8101,1355,1414,3568,10222,3327,4032,2989,7358,0,4237,4488,16636,1311,634,3215,2046,6570,75066,2064,6954,2275,2997,2427,3274,1960,0,6818,13002,3401,3508,6711,6806,0,2123,3513,0,1233,6197,1597,2029,7864,3920,6851,2215,5078,6878,2501,1780,3457,0,14313,4089,3589,6286,3103,0,0,7177,3967,3212,3255,3575,7611,5392,10619,14015,2341,2020
APRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
